date,year_month,year,month,day_of_week,member_casual,ride_length
2021-06-26,2021 June,2021,June,Saturday,member,436680
2021-03-06,2021 March,2021,March,Saturday,member,276840
2021-03-13,2021 March,2021,March,Saturday,member,474000
2021-03-20,2021 March,2021,March,Saturday,member,451860
2021-03-27,2021 March,2021,March,Saturday,member,430500
2021-05-01,2021 May,2021,May,Saturday,member,843540
2021-05-08,2021 May,2021,May,Saturday,member,589860
2021-05-15,2021 May,2021,May,Saturday,member,539700
2021-05-22,2021 May,2021,May,Saturday,member,1185300
2021-05-29,2021 May,2021,May,Saturday,member,696060
2020-11-07,2020 November,2020,November,Saturday,member,887580
2020-11-14,2020 November,2020,November,Saturday,member,276060
2020-11-21,2020 November,2020,November,Saturday,member,351900
2020-11-28,2020 November,2020,November,Saturday,member,324960
2020-10-03,2020 October,2020,October,Saturday,member,558780
2020-10-10,2020 October,2020,October,Saturday,member,816600
2020-10-17,2020 October,2020,October,Saturday,member,464160
2020-10-24,2020 October,2020,October,Saturday,member,422040
2020-10-31,2020 October,2020,October,Saturday,member,498000
2020-09-05,2020 September,2020,September,Saturday,member,1002300
2020-09-12,2020 September,2020,September,Saturday,member,426480
2020-09-19,2020 September,2020,September,Saturday,member,779100
2020-09-26,2020 September,2020,September,Saturday,member,890820
2021-04-04,2021 April,2021,April,Sunday,member,592440
2021-04-11,2021 April,2021,April,Sunday,member,451800
2021-04-18,2021 April,2021,April,Sunday,member,530640
2021-04-25,2021 April,2021,April,Sunday,member,385680
2021-08-01,2021 August,2021,August,Sunday,member,791760
2021-08-08,2021 August,2021,August,Sunday,member,736800
2021-08-15,2021 August,2021,August,Sunday,member,963600
2021-08-22,2021 August,2021,August,Sunday,member,934740
2021-08-29,2021 August,2021,August,Sunday,member,690900
2020-12-06,2020 December,2020,December,Sunday,member,186240
2020-12-13,2020 December,2020,December,Sunday,member,244740
2020-12-20,2020 December,2020,December,Sunday,member,180060
2020-12-27,2020 December,2020,December,Sunday,member,156780
2021-02-07,2021 February,2021,February,Sunday,member,22980
2021-02-14,2021 February,2021,February,Sunday,member,29760
2021-02-21,2021 February,2021,February,Sunday,member,45960
2021-02-28,2021 February,2021,February,Sunday,member,157560
2021-01-03,2021 January,2021,January,Sunday,member,124200
2021-01-10,2021 January,2021,January,Sunday,member,156960
2021-01-17,2021 January,2021,January,Sunday,member,134640
2021-01-24,2021 January,2021,January,Sunday,member,153780
2021-01-31,2021 January,2021,January,Sunday,member,33480
2021-07-04,2021 July,2021,July,Sunday,member,837420
2021-07-11,2021 July,2021,July,Sunday,member,438060
2021-07-18,2021 July,2021,July,Sunday,member,1019940
2021-07-25,2021 July,2021,July,Sunday,member,894660
2021-06-06,2021 June,2021,June,Sunday,member,967080
2021-06-13,2021 June,2021,June,Sunday,member,1199640
2021-06-20,2021 June,2021,June,Sunday,member,718320
2021-06-27,2021 June,2021,June,Sunday,member,980400
2021-03-07,2021 March,2021,March,Sunday,member,394800
2021-03-14,2021 March,2021,March,Sunday,member,208500
2021-03-21,2021 March,2021,March,Sunday,member,577920
2021-03-28,2021 March,2021,March,Sunday,member,316260
2021-05-02,2021 May,2021,May,Sunday,member,877020
2021-05-09,2021 May,2021,May,Sunday,member,293640
2021-05-16,2021 May,2021,May,Sunday,member,829080
2021-05-23,2021 May,2021,May,Sunday,member,627120
2021-05-30,2021 May,2021,May,Sunday,member,725760
2020-11-01,2020 November,2020,November,Sunday,member,230100
2020-11-08,2020 November,2020,November,Sunday,member,744360
2020-11-15,2020 November,2020,November,Sunday,member,129480
2020-11-22,2020 November,2020,November,Sunday,member,174960
2020-11-29,2020 November,2020,November,Sunday,member,223980
2020-10-04,2020 October,2020,October,Sunday,member,472680
2020-10-11,2020 October,2020,October,Sunday,member,715620
2020-10-18,2020 October,2020,October,Sunday,member,241200
2020-10-25,2020 October,2020,October,Sunday,member,328020
2020-09-06,2020 September,2020,September,Sunday,member,525180
2020-09-13,2020 September,2020,September,Sunday,member,2832420
2020-09-20,2020 September,2020,September,Sunday,member,737820
2020-09-27,2020 September,2020,September,Sunday,member,821160
2021-04-01,2021 April,2021,April,Thursday,member,235980
2021-04-08,2021 April,2021,April,Thursday,member,227160
2021-04-15,2021 April,2021,April,Thursday,member,358080
2021-04-22,2021 April,2021,April,Thursday,member,414720
2021-04-29,2021 April,2021,April,Thursday,member,448380
2021-08-05,2021 August,2021,August,Thursday,member,857100
2021-08-12,2021 August,2021,August,Thursday,member,798600
2021-08-19,2021 August,2021,August,Thursday,member,809760
2021-08-26,2021 August,2021,August,Thursday,member,975720
2020-12-03,2020 December,2020,December,Thursday,member,321240
2020-12-10,2020 December,2020,December,Thursday,member,378240
2020-12-17,2020 December,2020,December,Thursday,member,181080
2020-12-24,2020 December,2020,December,Thursday,member,94020
2020-12-31,2020 December,2020,December,Thursday,member,153480
2021-02-04,2021 February,2021,February,Thursday,member,62760
2021-02-11,2021 February,2021,February,Thursday,member,156000
2021-02-18,2021 February,2021,February,Thursday,member,71760
2021-02-25,2021 February,2021,February,Thursday,member,165300
2021-01-07,2021 January,2021,January,Thursday,member,174960
2021-01-14,2021 January,2021,January,Thursday,member,153780
2021-01-21,2021 January,2021,January,Thursday,member,305040
2021-01-28,2021 January,2021,January,Thursday,member,137640
2021-07-01,2021 July,2021,July,Thursday,member,845580
2021-07-08,2021 July,2021,July,Thursday,member,883020
2021-07-15,2021 July,2021,July,Thursday,member,644580
2021-07-22,2021 July,2021,July,Thursday,member,874140
2021-07-29,2021 July,2021,July,Thursday,member,834240
2021-06-03,2021 June,2021,June,Thursday,member,858660
2021-06-10,2021 June,2021,June,Thursday,member,897720
2021-06-17,2021 June,2021,June,Thursday,member,963060
2021-06-24,2021 June,2021,June,Thursday,member,520560
2021-03-04,2021 March,2021,March,Thursday,member,184020
2021-03-11,2021 March,2021,March,Thursday,member,345120
2021-03-18,2021 March,2021,March,Thursday,member,147960
2021-03-25,2021 March,2021,March,Thursday,member,262080
2021-05-06,2021 May,2021,May,Thursday,member,389340
2021-05-13,2021 May,2021,May,Thursday,member,651600
2021-05-20,2021 May,2021,May,Thursday,member,761580
2021-05-27,2021 May,2021,May,Thursday,member,441300
2020-11-05,2020 November,2020,November,Thursday,member,494460
2020-11-12,2020 November,2020,November,Thursday,member,443700
2020-11-19,2020 November,2020,November,Thursday,member,401640
2020-11-26,2020 November,2020,November,Thursday,member,139860
2020-10-01,2020 October,2020,October,Thursday,member,496980
2020-10-08,2020 October,2020,October,Thursday,member,757620
2020-10-15,2020 October,2020,October,Thursday,member,514140
2020-10-22,2020 October,2020,October,Thursday,member,630660
2020-10-29,2020 October,2020,October,Thursday,member,357360
2020-09-03,2020 September,2020,September,Thursday,member,822180
2020-09-10,2020 September,2020,September,Thursday,member,560700
2020-09-17,2020 September,2020,September,Thursday,member,762300
2020-09-24,2020 September,2020,September,Thursday,member,834300
2021-04-06,2021 April,2021,April,Tuesday,member,717660
2021-04-13,2021 April,2021,April,Tuesday,member,471660
2021-04-20,2021 April,2021,April,Tuesday,member,293580
2021-04-27,2021 April,2021,April,Tuesday,member,798840
2021-08-03,2021 August,2021,August,Tuesday,member,870360
2021-08-10,2021 August,2021,August,Tuesday,member,759780
2021-08-17,2021 August,2021,August,Tuesday,member,956940
2021-08-24,2021 August,2021,August,Tuesday,member,602160
2021-08-31,2021 August,2021,August,Tuesday,member,775980
2020-12-01,2020 December,2020,December,Tuesday,member,179040
2020-12-08,2020 December,2020,December,Tuesday,member,224760
2020-12-15,2020 December,2020,December,Tuesday,member,168060
2020-12-22,2020 December,2020,December,Tuesday,member,212880
2020-12-29,2020 December,2020,December,Tuesday,member,101640
2021-02-02,2021 February,2021,February,Tuesday,member,124860
2021-02-09,2021 February,2021,February,Tuesday,member,66900
2021-02-16,2021 February,2021,February,Tuesday,member,82800
2021-02-23,2021 February,2021,February,Tuesday,member,145440
2021-01-05,2021 January,2021,January,Tuesday,member,191400
2021-01-12,2021 January,2021,January,Tuesday,member,222300
2021-01-19,2021 January,2021,January,Tuesday,member,160140
2021-01-26,2021 January,2021,January,Tuesday,member,43140
2021-07-06,2021 July,2021,July,Tuesday,member,723660
2021-07-13,2021 July,2021,July,Tuesday,member,783540
2021-07-20,2021 July,2021,July,Tuesday,member,835500
2021-07-27,2021 July,2021,July,Tuesday,member,832800
2021-06-01,2021 June,2021,June,Tuesday,member,783180
2021-06-08,2021 June,2021,June,Tuesday,member,921720
2021-06-15,2021 June,2021,June,Tuesday,member,859740
2021-06-22,2021 June,2021,June,Tuesday,member,905640
2021-06-29,2021 June,2021,June,Tuesday,member,686340
2021-03-02,2021 March,2021,March,Tuesday,member,189300
2021-03-09,2021 March,2021,March,Tuesday,member,510060
2021-03-16,2021 March,2021,March,Tuesday,member,196440
2021-03-23,2021 March,2021,March,Tuesday,member,207000
2021-03-30,2021 March,2021,March,Tuesday,member,396660
2021-05-04,2021 May,2021,May,Tuesday,member,357300
2021-05-11,2021 May,2021,May,Tuesday,member,457500
2021-05-18,2021 May,2021,May,Tuesday,member,458820
2021-05-25,2021 May,2021,May,Tuesday,member,739740
2020-11-03,2020 November,2020,November,Tuesday,member,501900
2020-11-10,2020 November,2020,November,Tuesday,member,330600
2020-11-17,2020 November,2020,November,Tuesday,member,298920
2020-11-24,2020 November,2020,November,Tuesday,member,105000
2020-10-06,2020 October,2020,October,Tuesday,member,697620
2020-10-13,2020 October,2020,October,Tuesday,member,789720
2020-10-20,2020 October,2020,October,Tuesday,member,405420
2020-10-27,2020 October,2020,October,Tuesday,member,261840
2020-09-01,2020 September,2020,September,Tuesday,member,479280
2020-09-08,2020 September,2020,September,Tuesday,member,298080
2020-09-15,2020 September,2020,September,Tuesday,member,800340
2020-09-22,2020 September,2020,September,Tuesday,member,780060
2020-09-29,2020 September,2020,September,Tuesday,member,572100
2021-04-07,2021 April,2021,April,Wednesday,member,743640
2021-04-14,2021 April,2021,April,Wednesday,member,381180
2021-04-21,2021 April,2021,April,Wednesday,member,275760
2021-04-28,2021 April,2021,April,Wednesday,member,294300
2021-08-04,2021 August,2021,August,Wednesday,member,843780
2021-08-11,2021 August,2021,August,Wednesday,member,844980
2021-08-18,2021 August,2021,August,Wednesday,member,927840
2021-08-25,2021 August,2021,August,Wednesday,member,657900
2020-12-02,2020 December,2020,December,Wednesday,member,280800
2020-12-09,2020 December,2020,December,Wednesday,member,326760
2020-12-16,2020 December,2020,December,Wednesday,member,167760
2020-12-23,2020 December,2020,December,Wednesday,member,191640
2020-12-30,2020 December,2020,December,Wednesday,member,83520
2021-02-03,2021 February,2021,February,Wednesday,member,158520
2021-02-10,2021 February,2021,February,Wednesday,member,85800
2021-02-17,2021 February,2021,February,Wednesday,member,81900
2021-02-24,2021 February,2021,February,Wednesday,member,176100
2021-01-06,2021 January,2021,January,Wednesday,member,252000
2021-01-13,2021 January,2021,January,Wednesday,member,220260
2021-01-20,2021 January,2021,January,Wednesday,member,120300
2021-01-27,2021 January,2021,January,Wednesday,member,119880
2021-07-07,2021 July,2021,July,Wednesday,member,776400
2021-07-14,2021 July,2021,July,Wednesday,member,901320
2021-07-21,2021 July,2021,July,Wednesday,member,868140
2021-07-28,2021 July,2021,July,Wednesday,member,907140
2021-06-02,2021 June,2021,June,Wednesday,member,785280
2021-06-09,2021 June,2021,June,Wednesday,member,908220
2021-06-16,2021 June,2021,June,Wednesday,member,917520
2021-06-23,2021 June,2021,June,Wednesday,member,762300
2021-06-30,2021 June,2021,June,Wednesday,member,669120
2021-03-03,2021 March,2021,March,Wednesday,member,269040
2021-03-10,2021 March,2021,March,Wednesday,member,328860
2021-03-17,2021 March,2021,March,Wednesday,member,160620
2021-03-24,2021 March,2021,March,Wednesday,member,394080
2021-03-31,2021 March,2021,March,Wednesday,member,277380
2021-05-05,2021 May,2021,May,Wednesday,member,534540
2021-05-12,2021 May,2021,May,Wednesday,member,563700
2021-05-19,2021 May,2021,May,Wednesday,member,629220
2021-05-26,2021 May,2021,May,Wednesday,member,805320
2020-11-04,2020 November,2020,November,Wednesday,member,514380
2020-11-11,2020 November,2020,November,Wednesday,member,408900
2020-11-18,2020 November,2020,November,Wednesday,member,299580
2020-11-25,2020 November,2020,November,Wednesday,member,291120
2020-10-07,2020 October,2020,October,Wednesday,member,726300
2020-10-14,2020 October,2020,October,Wednesday,member,684540
2020-10-21,2020 October,2020,October,Wednesday,member,422040
2020-10-28,2020 October,2020,October,Wednesday,member,435120
2020-09-02,2020 September,2020,September,Wednesday,member,894660
2020-09-09,2020 September,2020,September,Wednesday,member,562380
2020-09-16,2020 September,2020,September,Wednesday,member,831660
2020-09-23,2020 September,2020,September,Wednesday,member,863880
2020-09-30,2020 September,2020,September,Wednesday,member,591660
