date,year_month,year,month,day_of_week,member_casual,ride_length
2020-12-26,2020 December,2020,December,Saturday,casual,268020
2021-02-06,2021 February,2021,February,Saturday,casual,10380
2021-02-13,2021 February,2021,February,Saturday,casual,7200
2021-02-20,2021 February,2021,February,Saturday,casual,27240
2021-02-27,2021 February,2021,February,Saturday,casual,637320
2021-01-02,2021 January,2021,January,Saturday,casual,54600
2021-01-09,2021 January,2021,January,Saturday,casual,212040
2021-01-16,2021 January,2021,January,Saturday,casual,106680
2021-01-23,2021 January,2021,January,Saturday,casual,71940
2021-01-30,2021 January,2021,January,Saturday,casual,29340
2021-07-03,2021 July,2021,July,Saturday,casual,3334620
2021-07-10,2021 July,2021,July,Saturday,casual,4271820
2021-07-17,2021 July,2021,July,Saturday,casual,4372740
2021-07-24,2021 July,2021,July,Saturday,casual,4426980
2021-07-31,2021 July,2021,July,Saturday,casual,3354420
2021-06-05,2021 June,2021,June,Saturday,casual,6950520
2021-06-12,2021 June,2021,June,Saturday,casual,4727220
2021-06-19,2021 June,2021,June,Saturday,casual,3411180
2021-06-26,2021 June,2021,June,Saturday,casual,1107780
2021-03-06,2021 March,2021,March,Saturday,casual,427860
2021-03-13,2021 March,2021,March,Saturday,casual,1141740
2021-03-20,2021 March,2021,March,Saturday,casual,962460
2021-03-27,2021 March,2021,March,Saturday,casual,944640
2021-05-01,2021 May,2021,May,Saturday,casual,2877120
2021-05-08,2021 May,2021,May,Saturday,casual,1134300
2021-05-15,2021 May,2021,May,Saturday,casual,1225500
2021-05-22,2021 May,2021,May,Saturday,casual,5299920
2021-05-29,2021 May,2021,May,Saturday,casual,1976820
2020-11-07,2020 November,2020,November,Saturday,casual,2140800
2020-11-14,2020 November,2020,November,Saturday,casual,594480
2020-11-21,2020 November,2020,November,Saturday,casual,277080
2020-11-28,2020 November,2020,November,Saturday,casual,578700
2020-10-03,2020 October,2020,October,Saturday,casual,796680
2020-10-10,2020 October,2020,October,Saturday,casual,2439240
2020-10-17,2020 October,2020,October,Saturday,casual,1408200
2020-10-24,2020 October,2020,October,Saturday,casual,665700
2020-10-31,2020 October,2020,October,Saturday,casual,893100
2020-09-05,2020 September,2020,September,Saturday,casual,4244700
2020-09-12,2020 September,2020,September,Saturday,casual,739080
2020-09-19,2020 September,2020,September,Saturday,casual,1958040
2020-09-26,2020 September,2020,September,Saturday,casual,2515920
2021-04-04,2021 April,2021,April,Sunday,casual,4209900
2021-04-11,2021 April,2021,April,Sunday,casual,1133760
2021-04-18,2021 April,2021,April,Sunday,casual,1064460
2021-04-25,2021 April,2021,April,Sunday,casual,686340
2021-08-01,2021 August,2021,August,Sunday,casual,5225940
2021-08-08,2021 August,2021,August,Sunday,casual,3100620
2021-08-15,2021 August,2021,August,Sunday,casual,3006840
2021-08-22,2021 August,2021,August,Sunday,casual,2881920
2021-08-29,2021 August,2021,August,Sunday,casual,1722840
2020-12-06,2020 December,2020,December,Sunday,casual,397860
2020-12-13,2020 December,2020,December,Sunday,casual,906060
2020-12-20,2020 December,2020,December,Sunday,casual,180000
2020-12-27,2020 December,2020,December,Sunday,casual,141660
2021-02-07,2021 February,2021,February,Sunday,casual,95640
2021-02-14,2021 February,2021,February,Sunday,casual,11940
2021-02-21,2021 February,2021,February,Sunday,casual,16560
2021-02-28,2021 February,2021,February,Sunday,casual,106980
2021-01-03,2021 January,2021,January,Sunday,casual,69540
2021-01-10,2021 January,2021,January,Sunday,casual,112740
2021-01-17,2021 January,2021,January,Sunday,casual,60000
2021-01-24,2021 January,2021,January,Sunday,casual,168600
2021-01-31,2021 January,2021,January,Sunday,casual,91740
2021-07-04,2021 July,2021,July,Sunday,casual,5455560
2021-07-11,2021 July,2021,July,Sunday,casual,1000380
2021-07-18,2021 July,2021,July,Sunday,casual,2705880
2021-07-25,2021 July,2021,July,Sunday,casual,2928780
2021-06-06,2021 June,2021,June,Sunday,casual,3451260
2021-06-13,2021 June,2021,June,Sunday,casual,4199280
2021-06-20,2021 June,2021,June,Sunday,casual,2048820
2021-06-27,2021 June,2021,June,Sunday,casual,3495300
2021-03-07,2021 March,2021,March,Sunday,casual,528000
2021-03-14,2021 March,2021,March,Sunday,casual,519240
2021-03-21,2021 March,2021,March,Sunday,casual,1894680
2021-03-28,2021 March,2021,March,Sunday,casual,471840
2021-05-02,2021 May,2021,May,Sunday,casual,3944640
2021-05-09,2021 May,2021,May,Sunday,casual,2349360
2021-05-16,2021 May,2021,May,Sunday,casual,3853380
2021-05-23,2021 May,2021,May,Sunday,casual,2299560
2021-05-30,2021 May,2021,May,Sunday,casual,4590480
2020-11-01,2020 November,2020,November,Sunday,casual,217980
2020-11-08,2020 November,2020,November,Sunday,casual,2067600
2020-11-15,2020 November,2020,November,Sunday,casual,99960
2020-11-22,2020 November,2020,November,Sunday,casual,162960
2020-11-29,2020 November,2020,November,Sunday,casual,283260
2020-10-04,2020 October,2020,October,Sunday,casual,759780
2020-10-11,2020 October,2020,October,Sunday,casual,1979640
2020-10-18,2020 October,2020,October,Sunday,casual,286740
2020-10-25,2020 October,2020,October,Sunday,casual,367260
2020-09-06,2020 September,2020,September,Sunday,casual,1617060
2020-09-13,2020 September,2020,September,Sunday,casual,2425020
2020-09-20,2020 September,2020,September,Sunday,casual,1967700
2020-09-27,2020 September,2020,September,Sunday,casual,1977540
2021-04-01,2021 April,2021,April,Thursday,casual,391500
2021-04-08,2021 April,2021,April,Thursday,casual,194400
2021-04-15,2021 April,2021,April,Thursday,casual,276420
2021-04-22,2021 April,2021,April,Thursday,casual,443940
2021-04-29,2021 April,2021,April,Thursday,casual,491340
2021-08-05,2021 August,2021,August,Thursday,casual,1589820
2021-08-12,2021 August,2021,August,Thursday,casual,1123560
2021-08-19,2021 August,2021,August,Thursday,casual,1455480
2021-08-26,2021 August,2021,August,Thursday,casual,1566060
2020-12-03,2020 December,2020,December,Thursday,casual,126780
2020-12-10,2020 December,2020,December,Thursday,casual,202380
2020-12-17,2020 December,2020,December,Thursday,casual,59520
2020-12-24,2020 December,2020,December,Thursday,casual,22140
2020-12-31,2020 December,2020,December,Thursday,casual,73860
2021-02-04,2021 February,2021,February,Thursday,casual,16260
2021-02-11,2021 February,2021,February,Thursday,casual,22500
2021-02-18,2021 February,2021,February,Thursday,casual,11700
2021-02-25,2021 February,2021,February,Thursday,casual,37680
2021-01-07,2021 January,2021,January,Thursday,casual,132960
2021-01-14,2021 January,2021,January,Thursday,casual,59340
2021-01-21,2021 January,2021,January,Thursday,casual,75000
2021-01-28,2021 January,2021,January,Thursday,casual,27660
2021-07-01,2021 July,2021,July,Thursday,casual,1449420
2021-07-08,2021 July,2021,July,Thursday,casual,1191120
2021-07-15,2021 July,2021,July,Thursday,casual,1050720
2021-07-22,2021 July,2021,July,Thursday,casual,1577520
2021-07-29,2021 July,2021,July,Thursday,casual,1617300
2021-06-03,2021 June,2021,June,Thursday,casual,1992660
2021-06-10,2021 June,2021,June,Thursday,casual,1694280
2021-06-17,2021 June,2021,June,Thursday,casual,2648340
2021-06-24,2021 June,2021,June,Thursday,casual,704760
2021-03-04,2021 March,2021,March,Thursday,casual,47040
2021-03-11,2021 March,2021,March,Thursday,casual,303720
2021-03-18,2021 March,2021,March,Thursday,casual,85200
2021-03-25,2021 March,2021,March,Thursday,casual,146220
2021-05-06,2021 May,2021,May,Thursday,casual,312000
2021-05-13,2021 May,2021,May,Thursday,casual,950220
2021-05-20,2021 May,2021,May,Thursday,casual,1199160
2021-05-27,2021 May,2021,May,Thursday,casual,400980
2020-11-05,2020 November,2020,November,Thursday,casual,452700
2020-11-12,2020 November,2020,November,Thursday,casual,196980
2020-11-19,2020 November,2020,November,Thursday,casual,320700
2020-11-26,2020 November,2020,November,Thursday,casual,192240
2020-10-01,2020 October,2020,October,Thursday,casual,305520
2020-10-08,2020 October,2020,October,Thursday,casual,689280
2020-10-15,2020 October,2020,October,Thursday,casual,423780
2020-10-22,2020 October,2020,October,Thursday,casual,845100
2020-10-29,2020 October,2020,October,Thursday,casual,142260
2020-09-03,2020 September,2020,September,Thursday,casual,1180740
2020-09-10,2020 September,2020,September,Thursday,casual,398820
2020-09-17,2020 September,2020,September,Thursday,casual,761640
2020-09-24,2020 September,2020,September,Thursday,casual,998580
2021-04-06,2021 April,2021,April,Tuesday,casual,1516860
2021-04-13,2021 April,2021,April,Tuesday,casual,367260
2021-04-20,2021 April,2021,April,Tuesday,casual,120900
2021-04-27,2021 April,2021,April,Tuesday,casual,1209600
2021-08-03,2021 August,2021,August,Tuesday,casual,1620900
2021-08-10,2021 August,2021,August,Tuesday,casual,1082760
2021-08-17,2021 August,2021,August,Tuesday,casual,1325460
2021-08-24,2021 August,2021,August,Tuesday,casual,989400
2021-08-31,2021 August,2021,August,Tuesday,casual,891840
2020-12-01,2020 December,2020,December,Tuesday,casual,75840
2020-12-08,2020 December,2020,December,Tuesday,casual,58200
2020-12-15,2020 December,2020,December,Tuesday,casual,96660
2020-12-22,2020 December,2020,December,Tuesday,casual,97440
2020-12-29,2020 December,2020,December,Tuesday,casual,67320
2021-02-02,2021 February,2021,February,Tuesday,casual,25980
2021-02-09,2021 February,2021,February,Tuesday,casual,20640
2021-02-16,2021 February,2021,February,Tuesday,casual,2160
2021-02-23,2021 February,2021,February,Tuesday,casual,76560
2021-01-05,2021 January,2021,January,Tuesday,casual,53580
2021-01-12,2021 January,2021,January,Tuesday,casual,158100
2021-01-19,2021 January,2021,January,Tuesday,casual,30120
2021-01-26,2021 January,2021,January,Tuesday,casual,19200
2021-07-06,2021 July,2021,July,Tuesday,casual,1566300
2021-07-13,2021 July,2021,July,Tuesday,casual,2211540
2021-07-20,2021 July,2021,July,Tuesday,casual,1377240
2021-07-27,2021 July,2021,July,Tuesday,casual,1397520
2021-06-01,2021 June,2021,June,Tuesday,casual,1270140
2021-06-08,2021 June,2021,June,Tuesday,casual,1285680
2021-06-15,2021 June,2021,June,Tuesday,casual,1733220
2021-06-22,2021 June,2021,June,Tuesday,casual,1834740
2021-06-29,2021 June,2021,June,Tuesday,casual,731340
2021-03-02,2021 March,2021,March,Tuesday,casual,93120
2021-03-09,2021 March,2021,March,Tuesday,casual,980880
2021-03-16,2021 March,2021,March,Tuesday,casual,96600
2021-03-23,2021 March,2021,March,Tuesday,casual,240720
2021-03-30,2021 March,2021,March,Tuesday,casual,604860
2021-05-04,2021 May,2021,May,Tuesday,casual,325980
2021-05-11,2021 May,2021,May,Tuesday,casual,505800
2021-05-18,2021 May,2021,May,Tuesday,casual,521880
