date,year_month,year,month,day_of_week,member_casual,ride_count
2021-01-02,2021 January,2021,January,Saturday,casual,45
2021-01-09,2021 January,2021,January,Saturday,casual,113
2021-01-16,2021 January,2021,January,Saturday,casual,78
2021-01-23,2021 January,2021,January,Saturday,casual,61
2021-01-30,2021 January,2021,January,Saturday,casual,23
2021-07-03,2021 July,2021,July,Saturday,casual,1680
2021-07-10,2021 July,2021,July,Saturday,casual,1234
2021-07-17,2021 July,2021,July,Saturday,casual,1818
2021-07-24,2021 July,2021,July,Saturday,casual,1597
2021-07-31,2021 July,2021,July,Saturday,casual,1772
2021-06-05,2021 June,2021,June,Saturday,casual,1788
2021-06-12,2021 June,2021,June,Saturday,casual,1665
2021-06-19,2021 June,2021,June,Saturday,casual,1704
2021-06-26,2021 June,2021,June,Saturday,casual,645
2021-03-06,2021 March,2021,March,Saturday,casual,213
2021-03-13,2021 March,2021,March,Saturday,casual,536
2021-03-20,2021 March,2021,March,Saturday,casual,494
2021-03-27,2021 March,2021,March,Saturday,casual,512
2021-05-01,2021 May,2021,May,Saturday,casual,1162
2021-05-08,2021 May,2021,May,Saturday,casual,593
2021-05-15,2021 May,2021,May,Saturday,casual,680
2021-05-22,2021 May,2021,May,Saturday,casual,1635
2021-05-29,2021 May,2021,May,Saturday,casual,967
2020-11-07,2020 November,2020,November,Saturday,casual,994
2020-11-14,2020 November,2020,November,Saturday,casual,190
2020-11-21,2020 November,2020,November,Saturday,casual,182
2020-11-28,2020 November,2020,November,Saturday,casual,246
2020-10-03,2020 October,2020,October,Saturday,casual,492
2020-10-10,2020 October,2020,October,Saturday,casual,1120
2020-10-17,2020 October,2020,October,Saturday,casual,535
2020-10-24,2020 October,2020,October,Saturday,casual,404
2020-10-31,2020 October,2020,October,Saturday,casual,437
2020-09-05,2020 September,2020,September,Saturday,casual,1315
2020-09-12,2020 September,2020,September,Saturday,casual,379
2020-09-19,2020 September,2020,September,Saturday,casual,973
2020-09-26,2020 September,2020,September,Saturday,casual,1120
2021-04-04,2021 April,2021,April,Sunday,casual,781
2021-04-11,2021 April,2021,April,Sunday,casual,403
2021-04-18,2021 April,2021,April,Sunday,casual,534
2021-04-25,2021 April,2021,April,Sunday,casual,287
2021-08-01,2021 August,2021,August,Sunday,casual,1526
2021-08-08,2021 August,2021,August,Sunday,casual,1381
2021-08-15,2021 August,2021,August,Sunday,casual,1501
2021-08-22,2021 August,2021,August,Sunday,casual,1448
2021-08-29,2021 August,2021,August,Sunday,casual,1028
2020-12-06,2020 December,2020,December,Sunday,casual,91
2020-12-13,2020 December,2020,December,Sunday,casual,127
2020-12-20,2020 December,2020,December,Sunday,casual,113
2020-12-27,2020 December,2020,December,Sunday,casual,91
2021-02-07,2021 February,2021,February,Sunday,casual,6
2021-02-14,2021 February,2021,February,Sunday,casual,8
2021-02-21,2021 February,2021,February,Sunday,casual,16
2021-02-28,2021 February,2021,February,Sunday,casual,70
2021-01-03,2021 January,2021,January,Sunday,casual,49
2021-01-10,2021 January,2021,January,Sunday,casual,78
2021-01-17,2021 January,2021,January,Sunday,casual,48
2021-01-24,2021 January,2021,January,Sunday,casual,71
2021-01-31,2021 January,2021,January,Sunday,casual,5
2021-07-04,2021 July,2021,July,Sunday,casual,1823
2021-07-11,2021 July,2021,July,Sunday,casual,569
2021-07-18,2021 July,2021,July,Sunday,casual,1586
2021-07-25,2021 July,2021,July,Sunday,casual,1499
2021-06-06,2021 June,2021,June,Sunday,casual,1399
2021-06-13,2021 June,2021,June,Sunday,casual,1785
2021-06-20,2021 June,2021,June,Sunday,casual,981
2021-06-27,2021 June,2021,June,Sunday,casual,1334
2021-03-07,2021 March,2021,March,Sunday,casual,236
2021-03-14,2021 March,2021,March,Sunday,casual,185
2021-03-21,2021 March,2021,March,Sunday,casual,743
2021-03-28,2021 March,2021,March,Sunday,casual,264
2021-05-02,2021 May,2021,May,Sunday,casual,1127
2021-05-09,2021 May,2021,May,Sunday,casual,220
2021-05-16,2021 May,2021,May,Sunday,casual,1075
2021-05-23,2021 May,2021,May,Sunday,casual,1000
2021-05-30,2021 May,2021,May,Sunday,casual,1358
2020-11-01,2020 November,2020,November,Sunday,casual,171
2020-11-08,2020 November,2020,November,Sunday,casual,707
2020-11-15,2020 November,2020,November,Sunday,casual,68
2020-11-22,2020 November,2020,November,Sunday,casual,113
2020-11-29,2020 November,2020,November,Sunday,casual,152
2020-10-04,2020 October,2020,October,Sunday,casual,456
2020-10-11,2020 October,2020,October,Sunday,casual,834
2020-10-18,2020 October,2020,October,Sunday,casual,147
2020-10-25,2020 October,2020,October,Sunday,casual,268
2020-09-06,2020 September,2020,September,Sunday,casual,789
2020-09-13,2020 September,2020,September,Sunday,casual,982
2020-09-20,2020 September,2020,September,Sunday,casual,830
2020-09-27,2020 September,2020,September,Sunday,casual,870
2021-04-01,2021 April,2021,April,Thursday,casual,125
2021-04-08,2021 April,2021,April,Thursday,casual,108
2021-04-15,2021 April,2021,April,Thursday,casual,193
2021-04-22,2021 April,2021,April,Thursday,casual,293
2021-04-29,2021 April,2021,April,Thursday,casual,246
2021-08-05,2021 August,2021,August,Thursday,casual,937
2021-08-12,2021 August,2021,August,Thursday,casual,791
2021-08-19,2021 August,2021,August,Thursday,casual,949
2021-08-26,2021 August,2021,August,Thursday,casual,948
2020-12-03,2020 December,2020,December,Thursday,casual,104
2020-12-10,2020 December,2020,December,Thursday,casual,145
2020-12-17,2020 December,2020,December,Thursday,casual,45
2020-12-24,2020 December,2020,December,Thursday,casual,18
2020-12-31,2020 December,2020,December,Thursday,casual,54
2021-02-04,2021 February,2021,February,Thursday,casual,17
2021-02-11,2021 February,2021,February,Thursday,casual,20
2021-02-18,2021 February,2021,February,Thursday,casual,11
2021-02-25,2021 February,2021,February,Thursday,casual,43
2021-01-07,2021 January,2021,January,Thursday,casual,55
2021-01-14,2021 January,2021,January,Thursday,casual,45
2021-01-21,2021 January,2021,January,Thursday,casual,63
2021-01-28,2021 January,2021,January,Thursday,casual,27
2021-07-01,2021 July,2021,July,Thursday,casual,864
2021-07-08,2021 July,2021,July,Thursday,casual,827
2021-07-15,2021 July,2021,July,Thursday,casual,725
2021-07-22,2021 July,2021,July,Thursday,casual,940
2021-07-29,2021 July,2021,July,Thursday,casual,1022
2021-06-03,2021 June,2021,June,Thursday,casual,836
2021-06-10,2021 June,2021,June,Thursday,casual,912
2021-06-17,2021 June,2021,June,Thursday,casual,989
2021-06-24,2021 June,2021,June,Thursday,casual,483
2021-03-04,2021 March,2021,March,Thursday,casual,47
2021-03-11,2021 March,2021,March,Thursday,casual,195
2021-03-18,2021 March,2021,March,Thursday,casual,73
2021-03-25,2021 March,2021,March,Thursday,casual,124
2021-05-06,2021 May,2021,May,Thursday,casual,247
2021-05-13,2021 May,2021,May,Thursday,casual,555
2021-05-20,2021 May,2021,May,Thursday,casual,703
2021-05-27,2021 May,2021,May,Thursday,casual,328
2020-11-05,2020 November,2020,November,Thursday,casual,318
2020-11-12,2020 November,2020,November,Thursday,casual,193
2020-11-19,2020 November,2020,November,Thursday,casual,238
2020-11-26,2020 November,2020,November,Thursday,casual,80
2020-10-01,2020 October,2020,October,Thursday,casual,272
2020-10-08,2020 October,2020,October,Thursday,casual,448
2020-10-15,2020 October,2020,October,Thursday,casual,319
2020-10-22,2020 October,2020,October,Thursday,casual,348
2020-10-29,2020 October,2020,October,Thursday,casual,147
2020-09-03,2020 September,2020,September,Thursday,casual,601
2020-09-10,2020 September,2020,September,Thursday,casual,239
2020-09-17,2020 September,2020,September,Thursday,casual,500
2020-09-24,2020 September,2020,September,Thursday,casual,591
2021-04-06,2021 April,2021,April,Tuesday,casual,592
2021-04-13,2021 April,2021,April,Tuesday,casual,256
2021-04-20,2021 April,2021,April,Tuesday,casual,119
